Start;Stop;;
2,15;2,175;69,4605;82,7947
2,1625;2,1875;73,9475;79,9515
2,175;2,2;81,1655;65,6273
2,1875;2,2125;83,4025;69,8467
2,2;2,225;78,7655;69,7801
2,2125;2,2375;83,2287;66,5331
2,225;2,25;72,6278;69,1959
2,2375;2,2625;60,3932;71,3394
2,25;2,275;33625,9;33385,5
2,2625;2,2875;35164,6;34638,9
2,275;2,3;11364,2;10201,2
2,2875;2,3125;6396,77;6522,1
2,3;2,325;5691,21;5902,3
2,3125;2,3375;4494,22;4251,05
2,325;2,35;3309,53;3229,65
2,3375;2,3625;3169,28;2699,12
2,35;2,375;2676,59;2547,59
2,3625;2,3875;2235,1;2292,93
2,375;2,4;2096,96;1812,64
2,3875;2,4125;1757,89;1230,56
2,4;2,425;1343,45;1209,5
2,4125;2,4375;1057,18;1086,54
2,425;2,45;923,268;1013
2,4375;2,4625;844,757;887,229
2,45;2,475;605,008;697,217
2,4625;2,4875;512,484;597,905
2,475;2,5;463,978;488,704
2,4875;2,5125;422,753;389,093
2,5;2,525;354,671;358,977
2,5125;2,5375;281,031;271,763
2,525;2,55;255,977;269,924
2,5375;2,5625;238,137;240,715
2,55;2,575;189,862;185,697
2,5625;2,5875;176,57;168,696
2,575;2,6;174,309;136,897
2,5875;2,6125;137,66;125,463
2,6;2,625;106,436;114,735
2,6125;2,6375;95,8159;96,0804
2,625;2,65;97,6769;92,5408
2,6375;2,6625;97,1953;91,675
2,65;2,675;89,0401;97,3102
2,6625;2,6875;77,724;82,4883
2,675;2,7;74,313;70,4487
2,6875;2,7125;75,2485;69,9771
2,7;2,725;71,3697;62,7847
2,7125;2,7375;63,259;67,4161
2,725;2,75;61,6904;70,1678
2,7375;2,7625;66,8269;66,4345
2,75;2,775;70,6736;74,2706
2,7625;2,7875;78,6536;81,1028
2,775;2,8;78,2732;73,9547
2,7875;2,8125;66,8162;68,8027
2,8;2,825;69,6376;69,1589
2,8125;2,8375;73,174;68,3232
2,825;2,85;219,314;203,104
2,8375;2,8625;80529,8;50811,9
2,85;2,875;81260,2;51653,9
2,8625;2,8875;13636,6;13137,7
2,875;2,9;12094,7;12479,2
2,8875;2,9125;10591,3;9958,1
2,9;2,925;7814,83;7056,71
2,9125;2,9375;6673,44;6295,76
2,925;2,95;5414,29;5818,99
2,9375;2,9625;4904,29;4802,21
2,95;2,975;4519,85;3581,12
2,9625;2,9875;4074,19;2605,34
2,975;3;3473,35;2367,58
2,9875;3,0125;2484,25;2303,02
3;3,025;1998,62;2113,92
3,0125;3,0375;1868,93;1943,74
3,025;3,05;1606,12;1604,7
3,0375;3,0625;1342,78;1273,2
3,05;3,075;1122,88;1066,75
3,0625;3,0875;911,316;791,568
3,075;3,1;803,304;674,482
3,0875;3,1125;624,43;575,216
3,1;3,125;537,762;503,226
3,1125;3,1375;494,792;432,508
3,125;3,15;404,789;363,317
3,1375;3,1625;375,549;310,652
3,15;3,175;385,613;270,984
3,1625;3,1875;314,419;231,799
3,175;3,2;236,413;207,651
3,1875;3,2125;198,643;176,409
3,2;3,225;185,103;167,502
3,2125;3,2375;178,276;163,835
3,225;3,25;159,328;134,125
3,2375;3,2625;146,797;108,056
3,25;3,275;132,001;110,791
3,2625;3,2875;116,76;106,255
3,275;3,3;107,067;104,679
3,2875;3,3125;109,078;100,363
3,3;3,325;113,989;87,2564
3,3125;3,3375;108,211;91,2963
3,325;3,35;101,921;88,3457
3,3375;3,3625;95,1638;81,2256
3,35;3,375;95,3826;86,0826
3,3625;3,3875;102,963;87,6263
3,375;3,4;102,844;112,847
3,3875;3,4125;105,56;122,337
3,4;3,425;103,227;101,63
3,4125;3,4375;86,676;90,9986
3,425;3,45;80,7318;80,0578
3,4375;3,4625;78,7301;71,3401
3,45;3,475;83,0075;69,2268
3,4625;3,4875;75800,1;59715,2
3,475;3,5;78339,5;61779,4
3,4875;3,5125;21947,9;18242,1
3,5;3,525;13589,7;13485,5
3,5125;3,5375;12547,6;12561,3
3,525;3,55;9891,25;9321,43
3,5375;3,5625;7660,92;6873,13
3,55;3,575;6255,57;5970,59
3,5625;3,5875;5175,08;5840,58
3,575;3,6;4679;4923,13
3,5875;3,6125;4521,38;3274,1
3,6;3,625;3999,59;2837,81
3,6125;3,6375;2964,77;2671,28
3,625;3,65;2302,94;2297,63
3,6375;3,6625;2070,51;2254,59
3,65;3,675;1642,32;1851,83
3,6625;3,6875;1398,34;1471,82
3,675;3,7;1291,19;1237,2
3,6875;3,7125;985,827;976,117
3,7;3,725;859,542;757,819
3,7125;3,7375;713,382;685,919
3,725;3,75;609,458;547,886
3,7375;3,7625;574,192;498,962
3,75;3,775;482,93;425,576
3,7625;3,7875;403,983;372,639
3,775;3,8;392,87;319,729
3,7875;3,8125;353,161;276,422
3,8;3,825;272,877;254,041
3,8125;3,8375;204,524;214,077
3,825;3,85;179,694;183,536
3,8375;3,8625;162,809;153,044
3,85;3,875;146,82;137,65
3,8625;3,8875;130,332;130,037
3,875;3,9;121,109;105,327
3,8875;3,9125;116,453;99,0204
3,9;3,925;104,377;96,502
3,9125;3,9375;96,4486;89,1245
3,925;3,95;94,193;90,3979
3,9375;3,9625;87,5705;82,8027
3,95;3,975;80,7736;77,7176
3,9625;3,9875;78,0895;83,8256
3,975;4;74,3118;77,7874
3,9875;4,0125;75,0137;67,831
4;4,025;74,3299;63,0266
4,0125;4,0375;68,0033;60,0488
4,025;4,05;63,8129;58,821
4,0375;4,0625;62,8507;56,5874
4,05;4,075;64,4342;63,6277
4,0625;4,0875;69,9386;69,9695
4,075;4,1;67,5529;69,6077
4,0875;4,1125;3520,34;2158,88
4,1;4,125;53745,6;32629,1
4,1125;4,1375;54170,4;33357,2
4,125;4,15;10119,5;10306,7
4,1375;4,1625;9111,51;9652,5
4,15;4,175;7482,09;7549,75
4,1625;4,1875;6292,25;5657,14
4,175;4,2;5537,06;4950,94
4,1875;4,2125;3855,26;4121,22
4,2;4,225;3648,28;3499,12
4,2125;4,2375;3388,68;2792,03
4,225;4,25;2925,77;2109,39
4,2375;4,2625;2592,4;1805,16
4,25;4,275;1974,99;1688,75
4,2625;4,2875;1519,51;1607,21
4,275;4,3;1442,03;1473,34
4,2875;4,3125;1105,97;1135,32
4,3;4,325;973,256;887,023
4,3125;4,3375;801,108;789,107
4,325;4,35;696,598;568,871
4,3375;4,3625;610,859;494,795
4,35;4,375;479,916;426,511
4,3625;4,3875;430,179;390,884
4,375;4,4;381,642;338,949
4,3875;4,4125;317,335;289,971
4,4;4,425;289,141;246,555
4,4125;4,4375;268,107;205,554
4,425;4,45;228,231;161,684
4,4375;4,4625;172,886;144,725
4,45;4,475;139,638;134,658
4,4625;4,4875;139,227;139,004
4,475;4,5;130,152;120,665
4,4875;4,5125;115,208;99,5107
4,5;4,525;110,125;90,1544
4,5125;4,5375;101,912;90,7598
4,525;4,55;88,3721;85,2132
4,5375;4,5625;85,3306;81,6497
4,55;4,575;83,0647;78,5322
4,5625;4,5875;76,5591;76,1113
4,575;4,6;75,2366;80,3422
4,5875;4,6125;74,9612;76,5609
4,6;4,625;69,7418;74,3296
4,6125;4,6375;70,7188;70,2187
4,625;4,65;74,2582;74,3132
4,6375;4,6625;74,4133;74,7642
4,65;4,675;78,2124;69,2336
4,6625;4,6875;72,3767;70,2022
4,675;4,7;74,7029;70,0176
4,6875;4,7125;75,3924;66,8725
4,7;4,725;68,2568;73,4919
4,7125;4,7375;79,7571;85,2543
4,725;4,75;72341,1;47642,1
4,7375;4,7625;73219,4;48602,3
4,75;4,775;14276;13831,9
4,7625;4,7875;12766,5;13095,5
4,775;4,8;10750,5;10536,4
4,7875;4,8125;8195,48;7827,72
