Start;Stop;;;;
2,35;2,375;77;116;69;131
2,3625;2,3875;74;120;65;120
2,375;2,4;74;115;69;126
2,3875;2,4125;78;105;73;123
2,4;2,425;73;100;73;114
2,4125;2,4375;70;117;68;123
2,425;2,45;79;118;65;120
2,4375;2,4625;80;112;66;117
2,45;2,475;79;116;63;120
2,4625;2,4875;81;116;68;118
2,475;2,5;73;124;67;121
2,4875;2,5125;70;120;56;125
2,5;2,525;67;119;66;125
2,5125;2,5375;70;125;76;125
2,525;2,55;80;112;68;118
2,5375;2,5625;76;101;67;123
2,55;2,575;79;110;63;128
2,5625;2,5875;74;114;67;128
2,575;2,6;66;111;74;132
2,5875;2,6125;69;126;70;139
2,6;2,625;68;139;79;151
2,6125;2,6375;62;151;76;155
2,625;2,65;62;161;61;148
2,6375;2,6625;62;160;63;152
2,65;2,675;58;151;56;158
2,6625;2,6875;74;150;54;155
2,675;2,7;77;157;58;152
2,6875;2,7125;67;163;73;153
2,7;2,725;71;155;83;150
2,7125;2,7375;73;155;84;157
2,725;2,75;78;161;84;160
2,7375;2,7625;97;157;95;149
2,75;2,775;113;152;99;148
2,7625;2,7875;96;150;83;156
2,775;2,8;93;148;92;153
2,7875;2,8125;105;143;105;136
2,8;2,825;101;141;103;144
2,8125;2,8375;108;139;93;148
2,825;2,85;91;137;78;142
2,8375;2,8625;74;124;77;125
2,85;2,875;80;112;72;101
2,8625;2,8875;80;110;69;100
2,875;2,9;76;110;67;98
2,8875;2,9125;78;125;69;102
2,9;2,925;77;127;77;110
2,9125;2,9375;75;106;70;111
2,925;2,95;80;99;70;109
2,9375;2,9625;73;95;71;108
2,95;2,975;71;95;73;109
2,9625;2,9875;74;94;76;110
2,975;3;78;97;71;105
2,9875;3,0125;78;105;71;103
3;3,025;75;103;66;99
3,0125;3,0375;73;94;64;92
3,025;3,05;72;91;70;96
3,0375;3,0625;77;92;75;102
3,05;3,075;75;92;74;108
3,0625;3,0875;71;98;67;105
3,075;3,1;72;99;65;101
3,0875;3,1125;70;107;67;113
3,1;3,125;71;108;65;117
3,1125;3,1375;74;95;58;114
3,125;3,15;76;94;59;111
3,1375;3,1625;80;90;67;105
3,15;3,175;78;99;68;103
3,1625;3,1875;79;105;66;111
3,175;3,2;79;105;71;118
3,1875;3,2125;80;110;76;117
3,2;3,225;82;109;70;121
3,2125;3,2375;79;115;69;132
3,225;3,25;77;121;75;127
3,2375;3,2625;77;114;80;119
3,25;3,275;78;110;69;125
3,2625;3,2875;75;124;61;134
3,275;3,3;80;131;61;133
3,2875;3,3125;76;126;59;128
3,3;3,325;76;121;65;143
3,3125;3,3375;82;122;64;146
3,325;3,35;79;129;64;145
3,3375;3,3625;80;138;76;147
3,35;3,375;79;138;79;144
3,3625;3,3875;70;140;65;150
3,375;3,4;66;139;50;145
3,3875;3,4125;66;129;54;143
3,4;3,425;62;140;61;155
3,4125;3,4375;61;148;59;156
3,425;3,45;68;139;60;164
3,4375;3,4625;71;152;62;165
3,45;3,475;64;159;66;142
3,4625;3,4875;61;146;59;137
3,475;3,5;78;131;61;126
3,4875;3,5125;86;115;75;118
3,5;3,525;78;112;71;118
3,5125;3,5375;72;121;74;124
3,525;3,55;77;127;81;115
3,5375;3,5625;82;115;80;112
3,55;3,575;80;113;75;124
3,5625;3,5875;79;115;71;115
3,575;3,6;74;114;80;118
3,5875;3,6125;76;110;82;136
3,6;3,625;77;102;71;129
3,6125;3,6375;73;110;71;121
3,625;3,65;78;121;68;115
3,6375;3,6625;85;107;60;96
3,65;3,675;83;110;67;101
3,6625;3,6875;81;110;79;107
3,675;3,7;83;107;77;114
3,6875;3,7125;81;126;66;122
3,7;3,725;74;122;59;118
3,7125;3,7375;74;125;67;120
3,725;3,75;77;125;78;124
3,7375;3,7625;73;104;73;111
3,75;3,775;80;100;74;116
3,7625;3,7875;85;111;82;129
3,775;3,8;82;115;75;131
3,7875;3,8125;84;105;65;128
3,8;3,825;86;114;66;128
3,8125;3,8375;84;125;68;123
3,825;3,85;82;127;70;119
3,8375;3,8625;82;134;82;126
3,85;3,875;78;134;84;124
3,8625;3,8875;70;128;76;144
3,875;3,9;69;126;77;149
3,8875;3,9125;76;128;79;136
3,9;3,925;81;141;80;139
3,9125;3,9375;76;153;83;148
3,925;3,95;74;143;80;145
3,9375;3,9625;75;138;85;150
3,95;3,975;72;145;83;164
3,9625;3,9875;74;156;60;157
3,975;4;70;150;55;154
3,9875;4,0125;69;147;69;158
4;4,025;64;152;83;159
4,0125;4,0375;61;149;82;162
4,025;4,05;76;150;84;167
4,0375;4,0625;92;150;94;167
4,05;4,075;93;156;89;156
4,0625;4,0875;73;164;69;150
4,075;4,1;68;151;66;162
4,0875;4,1125;65;143;67;174
4,1;4,125;60;114;55;128
4,1125;4,1375;72;87;56;76
4,125;4,15;74;83;60;71
4,1375;4,1625;67;87;59;80
4,15;4,175;66;98;62;88
4,1625;4,1875;69;88;62;81
4,175;4,2;74;81;58;82
4,1875;4,2125;72;84;59;83
4,2;4,225;62;84;60;83
4,2125;4,2375;61;85;64;92
4,225;4,25;69;82;65;96
4,2375;4,2625;73;79;60;93
4,25;4,275;70;86;56;87
4,2625;4,2875;73;90;58;84
4,275;4,3;73;83;56;83
4,2875;4,3125;73;82;64;84
4,3;4,325;73;84;69;85
4,3125;4,3375;63;93;62;83
4,325;4,35;60;91;58;88
4,3375;4,3625;67;87;54;85
4,35;4,375;64;94;57;85
4,3625;4,3875;64;84;66;98
4,375;4,4;72;89;58;103
4,3875;4,4125;68;95;56;106
4,4;4,425;70;90;55;114
4,4125;4,4375;70;97;55;103
4,425;4,45;69;99;61;100
4,4375;4,4625;72;107;62;110
4,45;4,475;74;109;61;114
4,4625;4,4875;77;117;58;118
4,475;4,5;71;130;64;121
4,4875;4,5125;67;131;76;133
4,5;4,525;73;124;77;145
4,5125;4,5375;73;120;70;142
4,525;4,55;77;138;68;152
4,5375;4,5625;79;161;68;149
4,55;4,575;76;158;74;146
4,5625;4,5875;73;150;76;146
4,575;4,6;71;144;72;144
4,5875;4,6125;78;140;77;154
4,6;4,625;89;145;77;156
4,6125;4,6375;82;138;76;155
4,625;4,65;77;144;84;151
4,6375;4,6625;85;149;81;148
4,65;4,675;75;142;78;143
4,6625;4,6875;73;147;81;148
4,675;4,7;77;157;73;149
4,6875;4,7125;73;154;73;146
4,7;4,725;78;150;77;153
4,7125;4,7375;74;139;75;155
4,725;4,75;73;112;70;122
4,7375;4,7625;74;94;64;93
4,75;4,775;73;98;62;96
4,7625;4,7875;72;97;59;97
4,775;4,8;64;98;62;93
4,7875;4,8125;65;98;65;88
4,8;4,825;76;94;57;93
4,8125;4,8375;72;97;50;88
4,825;4,85;57;93;51;85
4,8375;4,8625;61;84;60;92
4,85;4,875;72;84;72;97
4,8625;4,8875;74;80;69;105
4,875;4,9;67;91;63;100
4,8875;4,9125;65;97;59;89
4,9;4,925;67;84;56;79
4,9125;4,9375;69;92;59;84
4,925;4,95;74;98;59;88
4,9375;4,9625;68;85;59;93
4,95;4,975;64;76;62;89
4,9625;4,9875;69;82;61;88
4,975;5;65;94;61;88
4,9875;5,0125;65;87;65;84
5;5,025;66;86;62;91
5,0125;5,0375;64;94;58;90
5,025;5,05;66;94;60;92
5,0375;5,0625;64;89;59;102
5,05;5,075;67;94;51;100
5,0625;5,0875;75;102;55;102
5,075;5,1;73;108;60;99
5,0875;5,1125;69;120;69;95
5,1;5,125;71;130;72;105
5,1125;5,1375;71;123;63;122
5,125;5,15;72;125;63;142
5,1375;5,1625;74;147;65;149
5,15;5,175;71;143;64;151
5,1625;5,1875;64;153;65;154
5,175;5,2;61;155;63;161
5,1875;5,2125;75;149;64;166
5,2;5,225;79;151;71;162
5,2125;5,2375;61;155;71;152
5,225;5,25;65;172;82;154
5,2375;5,2625;78;165;82;165
5,25;5,275;74;153;82;193
