Start;Stop;;
2,125;2,15;70,7639;52,6105
2,1375;2,1625;69,0941;50,0921
2,15;2,175;57,9661;45,3081
2,1625;2,1875;59,3811;47,8781
2,175;2,2;56,2373;52,6935
2,1875;2,2125;55,8908;61,582
2,2;2,225;61,2788;63,3669
2,2125;2,2375;69,6403;57,0669
2,225;2,25;68,2549;49,5788
2,2375;2,2625;57,3875;46,8138
2,25;2,275;62,5527;55,1454
2,2625;2,2875;62,1018;62,9088
2,275;2,3;65,0508;64,2628
2,2875;2,3125;68,7304;65,1778
2,3;2,325;62,1102;61,1372
2,3125;2,3375;64,016;62,5496
2,325;2,35;70,5543;67,0365
2,3375;2,3625;62,8339;57,3804
2,35;2,375;55,4335;53,8669
2,3625;2,3875;59,7051;56,8856
2,375;2,4;58,8642;53,9711
2,3875;2,4125;62,046;65,4146
2,4;2,425;58,1625;65,9302
2,4125;2,4375;50,8812;57,4392
2,425;2,45;64,7559;65,2295
2,4375;2,4625;117,269;97,0725
2,45;2,475;194,374;156,882
2,4625;2,4875;244,735;212,095
2,475;2,5;243,581;233,987
2,4875;2,5125;210,836;218,932
2,5;2,525;203,97;214,641
2,5125;2,5375;206,3;203,303
2,525;2,55;210,767;199,438
2,5375;2,5625;196,547;194,403
2,55;2,575;160,112;175,361
2,5625;2,5875;181,122;193,392
2,575;2,6;201,297;195,757
2,5875;2,6125;192,302;186,409
2,6;2,625;185,979;175,303
2,6125;2,6375;186,813;164,177
2,625;2,65;171,248;158,386
2,6375;2,6625;167,766;159,353
2,65;2,675;173,859;171,798
2,6625;2,6875;160,052;169,917
2,675;2,7;158,504;174,947
2,6875;2,7125;160,921;169,687
2,7;2,725;180,199;169,484
2,7125;2,7375;184,593;179,444
2,725;2,75;176,876;175,627
2,7375;2,7625;173,742;171,008
2,75;2,775;187,473;185,584
2,7625;2,7875;193,972;201,872
2,775;2,8;189,873;205,317
2,7875;2,8125;181,544;195,297
2,8;2,825;179,129;180,442
2,8125;2,8375;186,83;181,497
2,825;2,85;178,782;184,898
2,8375;2,8625;174,454;185,058
2,85;2,875;176,368;181,863
2,8625;2,8875;174,734;183,24
2,875;2,9;170,602;176,574
2,8875;2,9125;175,851;167,341
2,9;2,925;166,442;158,011
2,9125;2,9375;150,986;159,287
2,925;2,95;139,206;156,431
2,9375;2,9625;136,876;156,898
2,95;2,975;139,274;169,06
2,9625;2,9875;133,467;157,787
2,975;3;117,183;133,808
2,9875;3,0125;150,305;147,496
3;3,025;173,662;150,898
3,0125;3,0375;157,388;133,706
3,025;3,05;144,271;140,839
3,0375;3,0625;137,679;155,023
3,05;3,075;136,385;161,584
3,0625;3,0875;144,565;159,277
3,075;3,1;136,071;141,58
3,0875;3,1125;131,443;129,537
3,1;3,125;128,095;132,345
3,1125;3,1375;137,03;148,316
3,125;3,15;149,335;158,945
3,1375;3,1625;146,514;157,22
3,15;3,175;151,202;154,988
3,1625;3,1875;134,458;153,854
3,175;3,2;136,093;147,338
3,1875;3,2125;148,408;141,923
3,2;3,225;138,718;133,786
3,2125;3,2375;147,181;126,972
3,225;3,25;153,455;130,106
3,2375;3,2625;139,57;145,446
3,25;3,275;127,633;144,194
3,2625;3,2875;126,831;134,1
3,275;3,3;131,437;143,619
3,2875;3,3125;137,32;137,171
3,3;3,325;138,075;127,622
3,3125;3,3375;129,03;122,026
3,325;3,35;133,358;126,635
3,3375;3,3625;140,501;127,281
3,35;3,375;133,627;128,001
3,3625;3,3875;119,125;133,166
3,375;3,4;125,089;138,113
3,3875;3,4125;135,534;136,302
3,4;3,425;235,965;359,44
3,4125;3,4375;267,805;386,067
3,425;3,45;188,763;196,08
3,4375;3,4625;156,197;144,623
3,45;3,475;167,904;150,119
3,4625;3,4875;162,199;150,98
3,475;3,5;162,914;154,591
3,4875;3,5125;161,234;148,974
3,5;3,525;154,255;159,87
3,5125;3,5375;149,282;168,219
3,525;3,55;133,824;147,915
3,5375;3,5625;129,84;143,932
3,55;3,575;148,075;145,118
3,5625;3,5875;152,558;137,949
3,575;3,6;133,383;122,672
3,5875;3,6125;128,333;121,721
3,6;3,625;146,73;138,971
3,6125;3,6375;161,263;155,715
3,625;3,65;144,627;151,122
3,6375;3,6625;136,407;145,837
3,65;3,675;162,258;174,641
3,6625;3,6875;168,624;179,36
3,675;3,7;153,322;159,748
3,6875;3,7125;147,418;153,227
3,7;3,725;161,215;151,447
3,7125;3,7375;143,021;135,845
3,725;3,75;138,693;129,074
3,7375;3,7625;167,615;156,538
3,75;3,775;157,735;159,946
3,7625;3,7875;154,987;147,334
3,775;3,8;166,372;157,947
3,7875;3,8125;178,021;175,631
3,8;3,825;162,915;169,905
3,8125;3,8375;144,741;146,593
3,825;3,85;166,678;139,913
3,8375;3,8625;166,813;145,471
3,85;3,875;143,497;135,659
3,8625;3,8875;140,507;136,814
3,875;3,9;157,821;158,76
3,8875;3,9125;143,731;148,989
3,9;3,925;120,449;123,305
3,9125;3,9375;148,123;132,973
3,925;3,95;154,683;138,908
3,9375;3,9625;154,905;132,625
3,95;3,975;156,143;137,72
3,9625;3,9875;143,626;149,369
3,975;4;162,477;158,29
3,9875;4,0125;147,211;134,006
4;4,025;133,145;120,228
4,0125;4,0375;147,815;130,483
4,025;4,05;146,716;126,161
4,0375;4,0625;142,349;135,106
4,05;4,075;124,612;124,799
4,0625;4,0875;118,613;110,146
4,075;4,1;116,068;115,488
4,0875;4,1125;116,95;112,342
4,1;4,125;123,126;113,031
4,1125;4,1375;122,551;112,52
4,125;4,15;112,254;105,832
4,1375;4,1625;114,827;101,756
4,15;4,175;124,805;110,045
4,1625;4,1875;129,51;120,696
4,175;4,2;137,175;122,512
4,1875;4,2125;124,256;113,688
4,2;4,225;120,868;121,428
4,2125;4,2375;126,492;128,299
4,225;4,25;120,873;127,526
4,2375;4,2625;125,996;128,97
4,25;4,275;127,554;126,947
4,2625;4,2875;121,685;120,554
4,275;4,3;119,829;105,879
4,2875;4,3125;114,63;103,008
4,3;4,325;108,681;110,178
4,3125;4,3375;103,137;106,494
4,325;4,35;99,7649;100,84
4,3375;4,3625;110,644;106,827
4,35;4,375;123,165;112,769
4,3625;4,3875;130,765;120,796
4,375;4,4;126,068;118,664
4,3875;4,4125;121,613;111,718
4,4;4,425;125,47;110,54
4,4125;4,4375;125,34;117,304
4,425;4,45;136,882;126,875
4,4375;4,4625;130,592;124,962
4,45;4,475;117,991;116,553
4,4625;4,4875;116,075;111,31
4,475;4,5;104,924;114,275
4,4875;4,5125;117,278;120,985
4,5;4,525;122,446;124,213
4,5125;4,5375;124,357;123,365
4,525;4,55;136,864;125,018
4,5375;4,5625;133,33;116,147
4,55;4,575;127,061;106,525
4,5625;4,5875;119,021;107,802
4,575;4,6;120,584;116,13
4,5875;4,6125;125,308;129,816
4,6;4,625;154,742;158,118
4,6125;4,6375;338,174;317,868
4,625;4,65;618,931;587,775
4,6375;4,6625;810,665;782,982
4,65;4,675;914,28;907,943
4,6625;4,6875;994,885;972,91
4,675;4,7;974,229;937,864
4,6875;4,7125;905,911;871,817
4,7;4,725;834,23;775,903
4,7125;4,7375;799,435;734,379
4,725;4,75;802,733;732,542
4,7375;4,7625;777,938;699,332
4,75;4,775;694,209;618,591
4,7625;4,7875;635,928;565,202
4,775;4,8;661,574;593,955
4,7875;4,8125;626,782;540,456
4,8;4,825;591,325;496,892
4,8125;4,8375;561,999;465,591
4,825;4,85;550,92;452,867
4,8375;4,8625;552,224;447,947
4,85;4,875;540,362;440,12
4,8625;4,8875;529,953;447,339
4,875;4,9;496,259;414,552
4,8875;4,9125;476,344;403,621
4,9;4,925;478,632;400,502
4,9125;4,9375;480,911;395,538
4,925;4,95;441,421;352,297
4,9375;4,9625;410,274;333,738
4,95;4,975;417,549;361,409
4,9625;4,9875;402,403;346,543
4,975;5;409,708;356,227
4,9875;5,0125;402,059;355,274
5;5,025;401,609;343,087
5,0125;5,0375;415,689;347,42
5,025;5,05;399,369;348,109
5,0375;5,0625;388,16;350,655
5,05;5,075;392,808;344,525
5,0625;5,0875;406,334;358,437
5,075;5,1;376,825;344,162
5,0875;5,1125;385,589;341,09
5,1;5,125;387,271;355,72
5,1125;5,1375;388,341;371,746
5,125;5,15;400,241;366,167
5,1375;5,1625;389,613;359,629
5,15;5,175;375,354;348,302
5,1625;5,1875;346,026;309,405
5,175;5,2;358,853;317,388
5,1875;5,2125;360,071;332,486
5,2;5,225;329,436;314,27
5,2125;5,2375;319,119;299,915
5,225;5,25;347,466;318,36
5,2375;5,2625;324,929;300,81
5,25;5,275;321,673;295,895
5,2625;5,2875;319,839;289,631
5,275;5,3;311,303;282,444
5,2875;5,3125;328,861;288,127
5,3;5,325;368,557;300,174
5,3125;5,3375;407,62;322,626
5,325;5,35;368,896;309,188
5,3375;5,3625;300,897;276,739
5,35;5,375;305,353;275,157
5,3625;5,3875;331,23;289,815
5,375;5,4;317,566;288,819
5,3875;5,4125;295,83;271
5,4;5,425;284,688;263,793
5,4125;5,4375;291,846;265,207
5,425;5,45;284,383;242,055
5,4375;5,4625;283,296;220,519
5,45;5,475;283,298;231,197
5,4625;5,4875;262,575;229,247
5,475;5,5;256,33;223,873
5,4875;5,5125;247,729;221,755
5,5;5,525;239,59;215,07
5,5125;5,5375;248,631;211,103
5,525;5,55;242,834;202,888
5,5375;5,5625;247,056;201,78
5,55;5,575;247,952;196,192
5,5625;5,5875;228,562;200,448
5,575;5,6;216,943;192,541
5,5875;5,6125;219,912;190,379
5,6;5,625;232,966;198,711
5,6125;5,6375;215,988;186,466
5,625;5,65;209,202;181,659
5,6375;5,6625;206,914;178,247
5,65;5,675;191,709;169,234
5,6625;5,6875;178,698;168,591
5,675;5,7;162,02;159,939
5,6875;5,7125;162,537;165,871
5,7;5,725;183,347;177,399
5,7125;5,7375;175,723;152,817
5,725;5,75;180,368;144,363
5,7375;5,7625;191,682;154,449
