Start;Stop;;;;
2,35;2,375;88;170;79;171
2,3625;2,3875;91;176;70;159
2,375;2,4;79;175;76;163
2,3875;2,4125;73;176;66;165
2,4;2,425;79;166;77;167
2,4125;2,4375;85;163;92;176
2,425;2,45;74;165;78;167
2,4375;2,4625;66;152;73;155
2,45;2,475;60;132;64;137
2,4625;2,4875;51;119;51;131
2,475;2,5;42;115;44;119
2,4875;2,5125;50;133;50;109
2,5;2,525;56;130;50;115
2,5125;2,5375;51;124;55;118
2,525;2,55;53;130;53;117
2,5375;2,5625;53;121;51;123
2,55;2,575;70;119;54;131
2,5625;2,5875;71;114;52;121
2,575;2,6;60;118;57;124
2,5875;2,6125;60;131;61;124
2,6;2,625;60;125;64;117
2,6125;2,6375;64;130;54;116
2,625;2,65;61;145;54;122
2,6375;2,6625;61;138;68;128
2,65;2,675;64;123;64;125
2,6625;2,6875;69;132;64;130
2,675;2,7;61;151;59;120
2,6875;2,7125;53;151;51;119
2,7;2,725;56;145;59;130
2,7125;2,7375;62;128;70;121
2,725;2,75;65;135;69;116
2,7375;2,7625;61;144;57;129
2,75;2,775;55;135;49;132
2,7625;2,7875;50;138;50;128
2,775;2,8;58;136;50;133
2,7875;2,8125;62;138;54;124
2,8;2,825;55;150;58;124
2,8125;2,8375;54;139;56;127
2,825;2,85;46;132;49;120
2,8375;2,8625;52;151;50;137
2,85;2,875;58;143;52;137
2,8625;2,8875;56;134;50;136
2,875;2,9;60;146;56;140
2,8875;2,9125;56;143;58;133
2,9;2,925;65;147;67;142
2,9125;2,9375;68;148;67;130
2,925;2,95;66;150;62;134
2,9375;2,9625;70;147;64;137
2,95;2,975;66;140;59;125
2,9625;2,9875;66;163;55;137
2,975;3;79;163;59;140
2,9875;3,0125;77;136;68;135
3;3,025;60;142;66;139
3,0125;3,0375;61;150;73;143
3,025;3,05;71;142;74;145
3,0375;3,0625;71;142;57;143
3,05;3,075;72;155;52;152
3,0625;3,0875;72;151;58;148
3,075;3,1;62;139;60;133
3,0875;3,1125;61;153;65;145
3,1;3,125;68;174;74;151
3,1125;3,1375;69;160;71;135
3,125;3,15;68;139;66;132
3,1375;3,1625;68;156;70;154
3,15;3,175;65;167;75;155
3,1625;3,1875;74;160;64;148
3,175;3,2;74;143;57;133
3,1875;3,2125;63;141;58;135
3,2;3,225;51;151;61;158
3,2125;3,2375;44;154;68;154
3,225;3,25;48;166;66;145
3,2375;3,2625;64;160;56;139
3,25;3,275;86;149;66;139
3,2625;3,2875;92;151;84;143
3,275;3,3;80;159;74;145
3,2875;3,3125;72;155;57;150
3,3;3,325;68;146;62;143
3,3125;3,3375;60;161;74;143
3,325;3,35;56;165;72;141
3,3375;3,3625;51;150;66;148
3,35;3,375;55;152;67;152
3,3625;3,3875;72;170;70;134
3,375;3,4;73;166;64;135
3,3875;3,4125;76;151;60;146
3,4;3,425;85;148;68;139
3,4125;3,4375;80;148;72;136
3,425;3,45;77;150;80;143
3,4375;3,4625;65;151;86;143
3,45;3,475;56;156;79;150
3,4625;3,4875;58;156;72;160
3,475;3,5;71;152;68;155
3,4875;3,5125;82;142;60;144
3,5;3,525;74;139;54;135
3,5125;3,5375;57;148;61;137
3,525;3,55;60;145;62;141
3,5375;3,5625;69;137;61;137
3,55;3,575;67;148;61;147
3,5625;3,5875;74;158;66;159
3,575;3,6;71;163;71;148
3,5875;3,6125;60;146;62;137
3,6;3,625;51;143;57;141
3,6125;3,6375;60;151;62;142
3,625;3,65;64;147;67;147
3,6375;3,6625;61;155;65;154
3,65;3,675;67;158;59;154
3,6625;3,6875;86;146;72;143
3,675;3,7;84;142;74;133
3,6875;3,7125;60;142;58;128
3,7;3,725;58;144;60;133
3,7125;3,7375;78;155;74;138
3,725;3,75;77;154;70;136
3,7375;3,7625;64;149;52;140
3,75;3,775;65;150;59;146
3,7625;3,7875;57;138;63;134
3,775;3,8;62;140;51;125
3,7875;3,8125;60;139;49;123
3,8;3,825;61;131;51;127
3,8125;3,8375;69;137;57;139
3,825;3,85;64;145;65;146
3,8375;3,8625;69;136;71;133
3,85;3,875;73;144;66;134
3,8625;3,8875;68;163;60;151
3,875;3,9;69;163;61;162
3,8875;3,9125;74;163;73;152
3,9;3,925;78;153;87;150
3,9125;3,9375;76;150;81;144
3,925;3,95;74;148;73;141
3,9375;3,9625;73;157;70;151
3,95;3,975;74;176;78;156
3,9625;3,9875;84;169;76;159
3,975;4;73;153;60;145
3,9875;4,0125;80;151;71;141
4;4,025;84;146;74;146
4,0125;4,0375;74;147;70;154
4,025;4,05;65;162;67;161
4,0375;4,0625;56;162;54;154
4,05;4,075;65;164;53;159
4,0625;4,0875;71;162;66;158
4,075;4,1;78;158;68;158
4,0875;4,1125;77;166;67;154
4,1;4,125;58;167;74;143
4,1125;4,1375;65;165;68;154
4,125;4,15;83;161;66;163
4,1375;4,1625;76;153;70;163
4,15;4,175;84;152;79;159
4,1625;4,1875;84;157;84;156
4,175;4,2;71;141;79;149
4,1875;4,2125;79;153;80;148
4,2;4,225;83;165;77;152
4,2125;4,2375;73;167;63;151
4,225;4,25;74;168;68;142
4,2375;4,2625;77;150;70;142
4,25;4,275;79;148;75;151
4,2625;4,2875;86;153;81;159
4,275;4,3;73;158;72;159
