Start;Stop;;;;
2,35;2,375;82;156;101;136
2,3625;2,3875;92;154;103;132
2,375;2,4;80;147;103;130
2,3875;2,4125;77;144;105;127
2,4;2,425;79;137;103;127
2,4125;2,4375;67;139;93;128
2,425;2,45;63;146;95;124
2,4375;2,4625;85;151;101;123
2,45;2,475;93;160;103;124
2,4625;2,4875;71;167;100;132
2,475;2,5;57;169;102;131
2,4875;2,5125;55;146;111;135
2,5;2,525;56;156;109;133
2,5125;2,5375;75;184;100;118
2,525;2,55;103;181;99;127
2,5375;2,5625;100;181;99;134
2,55;2,575;87;192;101;128
2,5625;2,5875;93;190;100;129
2,575;2,6;75;188;105;142
2,5875;2,6125;81;200;102;144
2,6;2,625;95;190;89;129
2,6125;2,6375;91;181;100;130
2,625;2,65;105;186;107;129
2,6375;2,6625;102;183;99;114
2,65;2,675;84;178;90;122
2,6625;2,6875;75;176;88;127
2,675;2,7;68;176;89;123
2,6875;2,7125;71;178;95;123
2,7;2,725;80;180;95;123
2,7125;2,7375;87;171;89;126
2,725;2,75;100;158;82;120
2,7375;2,7625;96;165;72;120
2,75;2,775;93;174;73;123
2,7625;2,7875;80;179;68;121
2,775;2,8;51;155;53;151
2,7875;2,8125;43;112;85;187
2,8;2,825;33;118;113;204
2,8125;2,8375;42;124;94;204
2,825;2,85;57;127;88;199
2,8375;2,8625;57;139;99;203
2,85;2,875;47;118;111;216
2,8625;2,8875;35;87;93;209
2,875;2,9;27;90;108;201
2,8875;2,9125;68;147;148;218
2,9;2,925;78;172;168;223
2,9125;2,9375;73;174;179;218
2,925;2,95;113;186;170;213
2,9375;2,9625;108;166;160;213
2,95;2,975;96;155;153;218
2,9625;2,9875;95;148;146;210
2,975;3;94;163;132;207
2,9875;3,0125;80;185;107;198
3;3,025;67;166;75;188
3,0125;3,0375;83;159;68;196
3,025;3,05;111;166;74;200
3,0375;3,0625;130;192;94;195
3,05;3,075;130;199;99;190
3,0625;3,0875;124;189;85;181
3,075;3,1;106;184;112;193
3,0875;3,1125;62;133;110;215
3,1;3,125;41;137;73;190
3,1125;3,1375;59;184;82;182
3,125;3,15;78;187;107;195
3,1375;3,1625;95;183;102;188
3,15;3,175;80;161;100;190
3,1625;3,1875;66;157;96;189
3,175;3,2;82;172;80;187
3,1875;3,2125;88;155;66;186
3,2;3,225;76;128;61;170
3,2125;3,2375;71;137;71;175
3,225;3,25;73;142;83;180
3,2375;3,2625;72;141;91;170
3,25;3,275;81;163;87;163
3,2625;3,2875;76;161;67;167
3,275;3,3;52;129;65;181
3,2875;3,3125;49;101;67;175
3,3;3,325;48;85;67;173
3,3125;3,3375;48;81;82;172
3,325;3,35;43;100;94;187
3,3375;3,3625;42;140;84;190
3,35;3,375;36;140;110;202
3,3625;3,3875;44;136;154;237
3,375;3,4;64;179;127;234
3,3875;3,4125;89;194;142;234
3,4;3,425;118;191;149;232
3,4125;3,4375;135;200;69;220
3,425;3,45;170;211;54;217
3,4375;3,4625;188;217;111;233
3,45;3,475;112;207;116;228
3,4625;3,4875;44;205;65;195
3,475;3,5;41;207;61;186
3,4875;3,5125;40;198;74;199
3,5;3,525;51;188;54;195
3,5125;3,5375;105;193;61;196
3,525;3,55;167;212;84;196
3,5375;3,5625;184;214;81;185
3,55;3,575;181;220;72;180
3,5625;3,5875;182;220;85;173
3,575;3,6;174;217;93;170
3,5875;3,6125;163;221;71;162
3,6;3,625;166;209;72;153
3,6125;3,6375;129;206;73;163
3,625;3,65;125;214;49;176
3,6375;3,6625;139;210;48;184
3,65;3,675;84;192;62;181
3,6625;3,6875;65;186;56;199
3,675;3,7;78;195;50;214
3,6875;3,7125;96;193;48;196
3,7;3,725;92;177;68;205
3,7125;3,7375;58;173;92;197
3,725;3,75;62;189;66;180
3,7375;3,7625;89;193;46;174
3,75;3,775;99;184;43;174
3,7625;3,7875;89;185;53;191
3,775;3,8;80;175;72;185
3,7875;3,8125;89;163;77;174
3,8;3,825;82;174;56;176
3,8125;3,8375;88;178;36;191
3,825;3,85;86;184;61;187
3,8375;3,8625;90;194;90;187
3,85;3,875;108;184;83;187
3,8625;3,8875;81;193;69;174
3,875;3,9;100;211;74;188
3,8875;3,9125;134;197;98;189
3,9;3,925;150;184;97;172
3,9125;3,9375;180;191;80;188
3,925;3,95;167;203;84;185
3,9375;3,9625;151;204;83;166
3,95;3,975;163;206;86;168
3,9625;3,9875;175;217;110;165
3,975;4;153;201;126;160
3,9875;4,0125;147;186;121;158
