Start;Stop;;
2,25;2,275;338,5;470,337
2,2625;2,2875;334,726;472,194
2,275;2,3;363,621;539,328
2,2875;2,3125;427,754;658,492
2,3;2,325;496,227;698,727
2,3125;2,3375;579,721;878,33
2,325;2,35;649,928;995,17
2,3375;2,3625;843,329;1141,94
2,35;2,375;915,117;1125,79
2,3625;2,3875;770,84;830,613
2,375;2,4;754,083;894,07
2,3875;2,4125;1765,82;1843,79
2,4;2,425;2552,11;2528,38
2,4125;2,4375;2803,63;2699,81
2,425;2,45;2675,78;2549,21
2,4375;2,4625;2838,46;2633,38
2,45;2,475;3129,48;2834,09
2,4625;2,4875;3153,38;2835,92
2,475;2,5;3202,8;2889,54
2,4875;2,5125;2924,67;2582,55
2,5;2,525;2699,32;2349,23
2,5125;2,5375;2231,14;1994,87
2,525;2,55;1397,01;1243,79
2,5375;2,5625;1101,36;940,733
2,55;2,575;792,395;699,547
2,5625;2,5875;497,948;456,599
2,575;2,6;378,075;379,489
2,5875;2,6125;1118,29;1086,33
2,6;2,625;2018,43;1866,77
2,6125;2,6375;2872,49;2592,27
2,625;2,65;3325,16;3016,79
2,6375;2,6625;3213,25;2981,54
2,65;2,675;3356,32;3189,28
2,6625;2,6875;3627,71;3427,74
2,675;2,7;3576,19;3420,79
2,6875;2,7125;3178,89;3073,57
2,7;2,725;2955,6;2840,45
2,7125;2,7375;3255,26;3111,35
2,725;2,75;3324,04;3146,4
2,7375;2,7625;2998,4;2799,92
2,75;2,775;2884,11;2625,1
2,7625;2,7875;2254,25;2109,84
2,775;2,8;674,461;776,766
2,7875;2,8125;352,537;306,985
2,8;2,825;342,5;285,578
2,8125;2,8375;359,248;287,848
2,825;2,85;299,923;251,485
2,8375;2,8625;784,451;768,462
2,85;2,875;977,267;945,822
2,8625;2,8875;810,868;688,264
2,875;2,9;675,308;530,655
2,8875;2,9125;677,533;616,22
2,9;2,925;778,637;706,416
2,9125;2,9375;1369,76;1191,6
2,925;2,95;2278,21;2017,94
2,9375;2,9625;3243,98;2881,92
2,95;2,975;3551,19;3090,55
2,9625;2,9875;3079,81;2642,12
2,975;3;2932,29;2567,63
2,9875;3,0125;2521,1;2311,57
3;3,025;1443,83;1455,41
3,0125;3,0375;861,179;877,433
3,025;3,05;643,617;715,594
3,0375;3,0625;613,066;705,838
3,05;3,075;538,488;622,84
3,0625;3,0875;503,553;563,453
3,075;3,1;457,715;507,243
3,0875;3,1125;379,395;450,093
3,1;3,125;258,021;358,004
3,1125;3,1375;152,34;207,957
3,125;3,15;99,8905;101,697
3,1375;3,1625;77,6398;85,555
3,15;3,175;71,5811;89,2293
3,1625;3,1875;69,3253;88,3539
3,175;3,2;796,007;912,129
3,1875;3,2125;1105,22;1179,89
3,2;3,225;969,834;947,3
3,2125;3,2375;853,858;978,055
3,225;3,25;1954,26;2256,11
3,2375;3,2625;3184,72;3642,08
3,25;3,275;4433,1;4875,6
3,2625;3,2875;6646,9;6848,12
3,275;3,3;9117,94;9028,03
3,2875;3,3125;9828,08;9713,45
