Start;Stop;;;;
2,35;2,375;80;164;90;169
2,3625;2,3875;83;151;85;159
2,375;2,4;67;141;71;136
2,3875;2,4125;45;108;52;115
2,4;2,425;32;88;26;105
2,4125;2,4375;32;95;25;104
2,425;2,45;37;94;31;97
2,4375;2,4625;38;91;43;84
2,45;2,475;40;80;50;81
2,4625;2,4875;38;86;47;89
2,475;2,5;36;90;45;86
2,4875;2,5125;41;82;48;80
2,5;2,525;34;78;40;83
2,5125;2,5375;31;93;35;95
2,525;2,55;35;99;41;102
2,5375;2,5625;36;99;38;106
2,55;2,575;36;97;34;117
2,5625;2,5875;41;114;43;114
2,575;2,6;54;129;60;119
2,5875;2,6125;53;98;61;103
2,6;2,625;44;79;48;80
2,6125;2,6375;39;75;39;79
2,625;2,65;37;69;35;74
2,6375;2,6625;38;67;38;71
2,65;2,675;41;72;41;74
2,6625;2,6875;48;72;43;76
2,675;2,7;50;74;50;76
2,6875;2,7125;51;75;53;78
2,7;2,725;53;80;46;79
2,7125;2,7375;49;81;39;79
2,725;2,75;44;75;32;79
2,7375;2,7625;35;76;24;84
2,75;2,775;26;83;24;86
2,7625;2,7875;23;98;25;96
2,775;2,8;26;105;29;120
2,7875;2,8125;32;106;28;125
2,8;2,825;33;124;24;113
2,8125;2,8375;25;145;33;125
2,825;2,85;16;151;34;138
2,8375;2,8625;45;151;61;162
2,85;2,875;67;154;85;179
2,8625;2,8875;59;129;75;155
2,875;2,9;64;105;69;128
2,8875;2,9125;71;98;71;110
2,9;2,925;68;93;71;106
2,9125;2,9375;56;91;56;110
2,925;2,95;37;80;34;94
2,9375;2,9625;27;70;22;86
2,95;2,975;26;77;22;87
2,9625;2,9875;27;95;22;89
2,975;3;24;85;20;82
2,9875;3,0125;20;78;26;75
3;3,025;45;121;39;122
3,0125;3,0375;91;169;63;184
3,025;3,05;118;199;94;217
3,0375;3,0625;123;207;120;219
3,05;3,075;135;213;155;228
3,0625;3,0875;133;215;168;231
3,075;3,1;128;213;154;222
3,0875;3,1125;141;218;166;231
3,1;3,125;169;238;176;241
3,1125;3,1375;138;238;120;241
3,125;3,15;90;218;77;221
3,1375;3,1625;108;219;90;205
3,15;3,175;97;214;87;208
3,1625;3,1875;74;195;69;204
3,175;3,2;66;167;67;185
3,1875;3,2125;74;149;85;176
3,2;3,225;88;141;99;166
3,2125;3,2375;82;115;86;129
3,225;3,25;54;88;56;99
3,2375;3,2625;29;72;34;90
3,25;3,275;30;72;34;87
3,2625;3,2875;31;77;34;81
3,275;3,3;24;74;26;76
3,2875;3,3125;24;73;22;73
3,3;3,325;29;78;27;76
3,3125;3,3375;27;80;31;82
3,325;3,35;22;77;32;83
3,3375;3,3625;41;106;43;123
3,35;3,375;65;158;77;195
3,3625;3,3875;57;196;99;223
3,375;3,4;60;210;119;229
3,3875;3,4125;72;207;133;238
3,4;3,425;87;200;135;226
3,4125;3,4375;101;202;139;221
3,425;3,45;96;204;132;219
3,4375;3,4625;93;203;130;222
3,45;3,475;83;206;131;236
3,4625;3,4875;60;205;118;227
3,475;3,5;27;204;87;208
3,4875;3,5125;17;199;55;190
3,5;3,525;19;202;44;185
3,5125;3,5375;24;191;43;194
3,525;3,55;22;179;44;192
3,5375;3,5625;25;185;48;190
3,55;3,575;48;167;78;191
3,5625;3,5875;70;163;123;209
3,575;3,6;123;196;180;232
3,5875;3,6125;150;199;204;234
3,6;3,625;127;174;181;214
3,6125;3,6375;111;160;148;193
3,625;3,65;104;156;121;169
3,6375;3,6625;104;147;118;151
3,65;3,675;97;144;109;150
3,6625;3,6875;84;134;85;139
3,675;3,7;88;128;87;134
3,6875;3,7125;87;130;93;135
3,7;3,725;75;127;86;128
3,7125;3,7375;70;122;88;127
3,725;3,75;65;115;83;142
3,7375;3,7625;74;119;82;144
3,75;3,775;92;126;92;132
3,7625;3,7875;93;128;97;130
3,775;3,8;85;120;104;145
3,7875;3,8125;96;116;110;148
3,8;3,825;101;120;109;139
3,8125;3,8375;101;123;98;138
3,825;3,85;101;122;101;146
3,8375;3,8625;91;127;107;151
3,85;3,875;94;127;102;139
3,8625;3,8875;103;118;105;127
3,875;3,9;102;113;97;122
3,8875;3,9125;102;120;96;124
3,9;3,925;98;130;106;134
3,9125;3,9375;92;126;96;133
3,925;3,95;90;112;93;136
3,9375;3,9625;87;114;90;136
3,95;3,975;77;113;76;118
3,9625;3,9875;73;106;78;110
3,975;4;88;110;76;119
3,9875;4,0125;77;105;68;117
4;4,025;64;99;67;100
4,0125;4,0375;67;101;71;110
4,025;4,05;73;100;77;122
4,0375;4,0625;71;99;77;113
4,05;4,075;62;98;73;104
4,0625;4,0875;64;93;68;94
4,075;4,1;65;90;63;92
4,0875;4,1125;69;95;64;99
4,1;4,125;71;91;68;93
4,1125;4,1375;68;84;73;92
4,125;4,15;65;90;74;103
4,1375;4,1625;67;105;71;97
4,15;4,175;70;119;72;95
4,1625;4,1875;62;116;72;97
4,175;4,2;58;106;69;88
4,1875;4,2125;62;105;67;95
4,2;4,225;67;95;67;97
4,2125;4,2375;70;99;69;94
4,225;4,25;78;116;68;109
4,2375;4,2625;74;108;67;111
4,25;4,275;66;102;68;108
4,2625;4,2875;73;106;70;100
4,275;4,3;75;114;72;97
4,2875;4,3125;67;115;72;101
4,3;4,325;67;100;74;107
4,3125;4,3375;67;89;75;105
4,325;4,35;75;92;75;100
4,3375;4,3625;84;107;78;100
4,35;4,375;80;115;76;96
4,3625;4,3875;71;109;75;105
4,375;4,4;69;111;75;115
4,3875;4,4125;79;116;74;117
4,4;4,425;81;105;72;109
4,4125;4,4375;70;116;70;106
4,425;4,45;70;119;74;105
4,4375;4,4625;71;109;76;99
