Start;Stop;;
2,2;2,225;2356,26;2384,82
2,2125;2,2375;2177,94;1933,9
2,225;2,25;1709,78;1775,1
2,2375;2,2625;1348,41;1424,33
2,25;2,275;1074,22;1316,3
2,2625;2,2875;873,807;1191,66
2,275;2,3;844,622;992,649
2,2875;2,3125;739,586;824,633
2,3;2,325;577,033;722,421
2,3125;2,3375;484,15;585,683
2,325;2,35;399,684;423,643
2,3375;2,3625;314,138;389,186
2,35;2,375;279,646;398,552
2,3625;2,3875;250,453;342,566
2,375;2,4;221,92;294,722
2,3875;2,4125;207,508;259,662
2,4;2,425;174,376;212,982
2,4125;2,4375;144,794;180,985
2,425;2,45;137,833;143,396
2,4375;2,4625;106,499;139,409
2,45;2,475;95,8058;128,973
2,4625;2,4875;97,063;116,274
2,475;2,5;85,6304;102,181
2,4875;2,5125;77,7796;86,4138
2,5;2,525;76,4163;89,4336
2,5125;2,5375;73,754;86,1326
2,525;2,55;75,4208;68,0201
2,5375;2,5625;75,1791;76,6142
2,55;2,575;67,5638;78,1688
2,5625;2,5875;70,159;71,8943
2,575;2,6;67,3453;68,6886
2,5875;2,6125;60,2566;68,3118
2,6;2,625;62,9883;75,9447
2,6125;2,6375;68,4828;79,5668
2,625;2,65;72,9792;76,6577
2,6375;2,6625;107,941;79,5616
2,65;2,675;9573,45;8398,21
2,6625;2,6875;9707,78;8584,3
2,675;2,7;2186,02;2210,24
2,6875;2,7125;1918,07;1830,3
2,7;2,725;1546,88;1638,64
2,7125;2,7375;1294,77;1271,88
2,725;2,75;1081,69;999,07
2,7375;2,7625;857,814;925,411
2,75;2,775;756,092;840,074
2,7625;2,7875;645,194;723,203
2,775;2,8;608,759;620,289
2,7875;2,8125;512,977;485,084
2,8;2,825;402,32;392,081
2,8125;2,8375;404,526;341,986
2,825;2,85;378,382;320,588
2,8375;2,8625;340,59;310,708
2,85;2,875;296,35;278,79
2,8625;2,8875;214,298;253,599
2,875;2,9;212,995;231,865
2,8875;2,9125;203,745;202,07
2,9;2,925;158,037;184,762
2,9125;2,9375;141,288;173,968
2,925;2,95;134,408;169,486
2,9375;2,9625;124,286;157,885
2,95;2,975;112,17;138,19
2,9625;2,9875;100,887;126,42
2,975;3;98,8965;113,387
2,9875;3,0125;98,6081;97,8878
3;3,025;91,5056;92,0346
3,0125;3,0375;85,0156;93,2768
3,025;3,05;84,2217;84,1096
3,0375;3,0625;82,1245;82,3639
3,05;3,075;79,1396;84,2576
3,0625;3,0875;69,3708;76,4682
3,075;3,1;74,0331;69,4622
3,0875;3,1125;76,484;70,1518
3,1;3,125;79,1448;79,6913
3,1125;3,1375;82,7046;75,3999
3,125;3,15;71,3218;78,6991
3,1375;3,1625;76,489;84,6449
3,15;3,175;79,7374;84,0124
3,1625;3,1875;74,0824;78,7171
3,175;3,2;69,0667;75,6689
3,1875;3,2125;78,1631;86,6071
3,2;3,225;71,3345;89,7789
3,2125;3,2375;70,8366;85,3603
3,225;3,25;8712,18;3184,83
3,2375;3,2625;97850,8;43402
3,25;3,275;97739,3;44151,4
3,2625;3,2875;11046,6;12370,2
3,275;3,3;10188,9;10489,4
3,2875;3,3125;7960,58;7829,22
3,3;3,325;6599,73;6602,55
3,3125;3,3375;5062,51;4920,86
3,325;3,35;4100,07;4677,44
3,3375;3,3625;3486,73;4336,87
3,35;3,375;3131,74;3397,46
3,3625;3,3875;2986,7;3003,45
3,375;3,4;2444,77;2355,38
3,3875;3,4125;1758,32;1899,95
3,4;3,425;1456,54;1599,04
3,4125;3,4375;1344,39;1348,54
3,425;3,45;1109,85;1251,37
3,4375;3,4625;867,522;1069,54
3,45;3,475;725,499;879,347
3,4625;3,4875;649,954;753,82
3,475;3,5;584,763;645,696
3,4875;3,5125;441,016;547,549
3,5;3,525;389,218;497,779
3,5125;3,5375;346,937;387,397
3,525;3,55;338,494;340,654
3,5375;3,5625;254,918;314,177
3,55;3,575;207,578;252,646
3,5625;3,5875;188,795;216,93
3,575;3,6;167,193;200,544
3,5875;3,6125;134,589;150,842
3,6;3,625;117,896;115,388
3,6125;3,6375;115,533;119,631
3,625;3,65;96,9213;103,74
3,6375;3,6625;86,8713;91,2941
3,65;3,675;101,847;95,3839
3,6625;3,6875;97,1397;88,484
3,675;3,7;80,2853;82,2603
3,6875;3,7125;84,3793;80,032
3,7;3,725;80,3801;72,6712
3,7125;3,7375;70,2744;64,6387
3,725;3,75;73,3919;67,286
3,7375;3,7625;71,228;70,3969
3,75;3,775;72,1752;71,9373
