Start;Stop;;;;
2,35;2,375;26;122;36;102
2,3625;2,3875;22;114;32;94
2,375;2,4;21;113;33;95
2,3875;2,4125;26;107;25;95
2,4;2,425;21;97;21;97
2,4125;2,4375;19;93;33;94
2,425;2,45;22;99;35;93
2,4375;2,4625;23;100;35;90
2,45;2,475;29;93;41;85
2,4625;2,4875;31;94;41;89
2,475;2,5;27;93;39;93
2,4875;2,5125;29;99;39;101
2,5;2,525;38;112;38;113
2,5125;2,5375;40;115;38;113
2,525;2,55;37;117;39;112
2,5375;2,5625;33;122;38;115
2,55;2,575;37;116;37;111
2,5625;2,5875;43;115;35;112
2,575;2,6;37;117;29;113
2,5875;2,6125;32;106;30;108
2,6;2,625;41;109;43;109
2,6125;2,6375;49;109;45;117
2,625;2,65;42;105;38;107
2,6375;2,6625;34;114;36;108
2,65;2,675;40;123;44;117
2,6625;2,6875;44;123;52;113
2,675;2,7;36;118;40;120
2,6875;2,7125;28;111;34;121
2,7;2,725;31;116;43;120
2,7125;2,7375;33;119;43;117
2,725;2,75;30;115;36;109
2,7375;2,7625;33;111;31;113
2,75;2,775;41;110;43;115
2,7625;2,7875;42;115;42;117
2,775;2,8;45;109;43;113
2,7875;2,8125;58;131;64;121
2,8;2,825;75;158;77;150
2,8125;2,8375;87;151;90;150
2,825;2,85;78;133;90;131
2,8375;2,8625;72;129;74;129
2,85;2,875;59;138;61;140
2,8625;2,8875;62;151;69;144
2,875;2,9;93;168;87;154
2,8875;2,9125;94;170;89;164
2,9;2,925;80;165;80;154
2,9125;2,9375;75;147;77;137
2,925;2,95;74;151;72;143
2,9375;2,9625;72;161;72;145
2,95;2,975;131;204;109;191
2,9625;2,9875;216;258;186;250
2,975;3;195;256;173;244
2,9875;3,0125;132;245;103;205
3;3,025;123;228;99;194
3,0125;3,0375;131;231;115;223
3,025;3,05;114;218;108;213
3,0375;3,0625;113;205;101;193
3,05;3,075;115;195;101;185
3,0625;3,0875;96;173;88;161
3,075;3,1;100;162;103;161
3,0875;3,1125;113;162;114;166
3,1;3,125;115;169;101;168
3,1125;3,1375;107;163;87;163
3,125;3,15;98;162;84;163
3,1375;3,1625;87;173;91;170
3,15;3,175;95;165;91;164
3,1625;3,1875;101;158;88;154
3,175;3,2;99;174;83;156
3,1875;3,2125;88;172;74;152
3,2;3,225;73;150;83;144
3,2125;3,2375;76;146;76;149
3,225;3,25;81;155;71;151
3,2375;3,2625;79;160;81;160
3,25;3,275;80;163;80;165
3,2625;3,2875;83;160;85;156
3,275;3,3;88;162;89;154
3,2875;3,3125;91;164;90;156
3,3;3,325;83;158;81;155
3,3125;3,3375;71;143;63;142
3,325;3,35;83;133;80;127
3,3375;3,3625;97;118;101;124
3,35;3,375;91;113;95;128
3,3625;3,3875;89;122;95;124
3,375;3,4;89;127;94;110
3,3875;3,4125;92;129;85;107
3,4;3,425;90;133;85;109
3,4125;3,4375;79;142;85;115
3,425;3,45;75;135;77;124
3,4375;3,4625;87;137;79;132
3,45;3,475;87;154;77;148
3,4625;3,4875;87;148;83;151
3,475;3,5;87;137;78;141
3,4875;3,5125;76;144;72;140
3,5;3,525;71;153;75;141
3,5125;3,5375;68;149;74;138
3,525;3,55;73;147;72;147
3,5375;3,5625;71;142;61;145
3,55;3,575;64;142;54;124
3,5625;3,5875;65;143;56;119
3,575;3,6;72;151;65;139
3,5875;3,6125;73;162;73;150
3,6;3,625;64;141;66;144
3,6125;3,6375;79;148;69;138
3,625;3,65;92;155;74;138
3,6375;3,6625;72;162;70;147
3,65;3,675;62;169;74;150
3,6625;3,6875;70;154;74;152
3,675;3,7;70;148;62;142
3,6875;3,7125;66;144;63;124
3,7;3,725;64;146;64;132
3,7125;3,7375;79;155;75;154
3,725;3,75;95;166;87;171
3,7375;3,7625;92;167;84;173
3,75;3,775;92;168;90;169
3,7625;3,7875;101;167;83;164
3,775;3,8;96;160;83;161
3,7875;3,8125;81;157;83;158
3,8;3,825;76;156;80;168
3,8125;3,8375;78;145;86;160
3,825;3,85;84;149;75;143
3,8375;3,8625;88;151;74;151
3,85;3,875;97;147;93;155
3,8625;3,8875;109;165;109;155
3,875;3,9;118;175;98;160
3,8875;3,9125;113;175;92;164
3,9;3,925;107;175;99;165
3,9125;3,9375;105;178;91;157
3,925;3,95;107;182;99;160
3,9375;3,9625;98;179;92;163
3,95;3,975;89;168;79;160
3,9625;3,9875;92;167;78;168
3,975;4;90;171;70;162
3,9875;4,0125;98;168;88;158
4;4,025;101;173;86;163
4,0125;4,0375;77;168;61;160
4,025;4,05;83;163;77;155
4,0375;4,0625;99;150;102;142
4,05;4,075;96;143;102;135
4,0625;4,0875;88;145;84;141
4,075;4,1;87;133;87;132
4,0875;4,1125;86;126;90;128
4,1;4,125;74;131;70;123
4,1125;4,1375;77;131;68;127
4,125;4,15;93;141;77;133
4,1375;4,1625;88;144;74;130
4,15;4,175;79;140;77;135
4,1625;4,1875;83;138;79;121
4,175;4,2;80;147;76;124
4,1875;4,2125;73;153;75;137
4,2;4,225;69;149;67;132
4,2125;4,2375;74;149;66;122
4,225;4,25;75;149;67;136
4,2375;4,2625;65;150;61;143
4,25;4,275;73;142;61;131
4,2625;4,2875;77;129;61;125
4,275;4,3;72;134;64;128
4,2875;4,3125;68;151;66;141
4,3;4,325;60;142;66;138
4,3125;4,3375;48;126;60;122
4,325;4,35;34;128;44;119
